127.0.0.1 - - [10/Oct/2024:14:19:09 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:19:10 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1056
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:19:10 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:29:03 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:29:03 +0530] "GET /Employee/home.css HTTP/1.1" 200 424
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:30:34 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:30:34 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:32:54 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1787
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:32:54 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:35:11 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:35:11 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:53 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:53 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:54 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:54 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:55 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:36:55 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:38:14 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:38:14 +0530] "GET /Employee/home.css HTTP/1.1" 200 556
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:38:18 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:38:18 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:39:45 +0530] "GET /Employee/home.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:40:21 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1811
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:40:22 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:44:09 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:44:09 +0530] "GET /Employee/home.css HTTP/1.1" 200 578
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:45:16 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:45:16 +0530] "GET /Employee/home.css HTTP/1.1" 200 581
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:47:50 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:47:50 +0530] "GET /Employee/home.css HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:49:20 +0530] "GET /Employee/home.css HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:49:36 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:49:36 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:50:17 +0530] "GET /Employee/home.css HTTP/1.1" 200 495
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:50:48 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:50:48 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:52:35 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1736
0:0:0:0:0:0:0:1 - - [10/Oct/2024:14:52:35 +0530] "GET /Employee/home.css HTTP/1.1" 200 504
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:09:14 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:09:14 +0530] "GET /Employee/home.css HTTP/1.1" 200 541
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:12:57 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:12:57 +0530] "GET /Employee/home.css HTTP/1.1" 200 537
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:15:31 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:15:31 +0530] "GET /Employee/home.css HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:20:19 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:20:19 +0530] "GET /Employee/home.css HTTP/1.1" 200 542
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:22:25 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1778
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:22:25 +0530] "GET /Employee/home.css HTTP/1.1" 200 557
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:24:12 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:24:12 +0530] "GET /Employee/home.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:26:00 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:26:00 +0530] "GET /Employee/home.css HTTP/1.1" 200 530
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:27:51 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:27:52 +0530] "GET /Employee/home.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:30:46 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:30:46 +0530] "GET /Employee/home.css HTTP/1.1" 200 563
0:0:0:0:0:0:0:1 - - [10/Oct/2024:15:31:39 +0530] "GET /Employee/employeeInsert.jsp HTTP/1.1" 200 1809
